business_id,category,ethnicity,year,observed_name
1,Social services,Not Specified,1999,Aboriginal Crisis Counselling Centre
1,Social services,Not Specified,2000,Aboriginal Crisis Counselling Centre
1,Social services,Not Specified,2001,Aboriginal Crisis Counselling Centre
1,Social services,Not Specified,2002,Aboriginal Crisis Counselling Centre
2,Electronics,Not Specified,1996,Above All Electronic Surplus
2,Electronics,Not Specified,1997,Above All Electronic Surplus
2,Electronics,Not Specified,1998,Above All Electronic Surplus
2,Electronics,Not Specified,1999,Above All Electronic Surplus
2,Electronics,Not Specified,2000,Above All Electronic Surplus
2,Electronics,Not Specified,2001,Above All Electronic Surplus
2,Electronics,Not Specified,2002,Above All Electronic Surplus
3,Clothing,Not Specified,1995,Accessories Club
3,Clothing,Not Specified,1996,Accessories Club
3,Clothing,Not Specified,1997,Accessories Club
3,Clothing,Not Specified,1998,Accessories Club
4,Clothing,Korean,1999,Ahssibang Fashions and Gifts
4,Clothing,Korean,2000,Ahssibang Fashions and Gifts
5,Prepared food,Not Specified,1995,Aidas
5,Prepared food,Not Specified,1996,Aidas
5,Prepared food,Not Specified,1997,Aidas
5,Prepared food,Not Specified,1998,Aidas
5,Prepared food,Not Specified,1999,Aidas
5,Prepared food,Not Specified,2000,Aidas
5,Prepared food,Not Specified,2001,Aidas
5,Prepared food,Not Specified,2002,Aidas
6,Prepared food,Not Specified,1995,Alberts Hall/Ye Olde Brunswick House
6,Prepared food,Not Specified,1996,Alberts Hall/Ye Olde Brunswick House
6,Prepared food,Not Specified,1997,Alberts Hall/Ye Olde Brunswick House
6,Prepared food,Not Specified,1998,Alberts Hall/Ye Olde Brunswick House
6,Prepared food,Not Specified,1999,Alberts Hall/Ye Olde Brunswick House and Champions Off-Track Wagering
6,Prepared food,Not Specified,2000,Alberts Hall/Ye Olde Brunswick House and Champions Off-Track Wagering
6,Prepared food,Not Specified,2001,Alberts Hall/Ye Olde Brunswick House and Champions Off-Track Wagering
6,Prepared food,Not Specified,2002,Alberts Hall/Ye Olde Brunswick House and Champions Off-Track Wagering
7,Personal care,Not Specified,1999,Alex Cuts
7,Personal care,Not Specified,2000,Alex Cuts
7,Personal care,Not Specified,2001,Alex Cuts
7,Personal care,Not Specified,2002,Alex Cuts
8,Business services,Not Specified,1995,Alicos Copy Centre
8,Business services,Not Specified,1996,Alicos Copy Centre
8,Business services,Not Specified,1997,Alicos Copy Centre
8,Business services,Not Specified,1998,Alicos Copy Centre
8,Business services,Not Specified,1999,Alicos Copy Centre
8,Business services,Not Specified,2000,Alicos Copy Centre
8,Business services,Not Specified,2001,Alicos Copy Centre
8,Business services,Not Specified,2002,Alicos Copy Centre
12,Clothing,Not Specified,1999,Allure
12,Clothing,Not Specified,2000,Allure
12,Clothing,Not Specified,2001,Allure
12,Clothing,Not Specified,2002,Allure
13,Convenience,Not Specified,1995,Alpha Milk
13,Convenience,Not Specified,1996,Alpha Milk
13,Convenience,Not Specified,1997,Alpha Milk
13,Convenience,Not Specified,1998,Alpha Milk
13,Convenience,Not Specified,1999,Alpha Milk
13,Convenience,Not Specified,2000,Alpha Milk
13,Convenience,Not Specified,2001,Alpha Milk
13,Convenience,Not Specified,2002,Alpha Milk
14,"Art, books, music, video",Not Specified,1995,Alternative Arts
14,"Art, books, music, video",Not Specified,1996,Alternative Arts
14,"Art, books, music, video",Not Specified,1997,Alternative Arts
14,"Art, books, music, video",Not Specified,1998,Alternative Arts
14,"Art, books, music, video",Not Specified,1999,Alternative Arts
14,"Art, books, music, video",Not Specified,2000,Alternative Arts
14,"Art, books, music, video",Not Specified,2001,Alternative Arts
14,"Art, books, music, video",Not Specified,2002,Alternative Arts
15,Prepared food,Not Specified,2002,Amnesia Bar and Grill
16,Personal care,Korean,1995,Amorean Cosmetics
16,Personal care,Korean,1996,Amorean Cosmetics
16,Personal care,Korean,1997,Amore Cosmetics
16,Personal care,Korean,1998,Amore Cosmetics
16,Personal care,Korean,1999,Amore Cosmetics
16,Personal care,Korean,2000,Amore Cosmetics
16,Personal care,Korean,2001,Amore Cosmetics
16,Personal care,Korean,2002,Amore Cosmetics
17,Food,Hispanic,1995,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,1996,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,1997,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,1998,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,1999,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,2000,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,2001,Andes Travel/Latin Video Tours/Marios Latin Video
17,Food,Hispanic,2002,Andes Travel/Latin Video Tours/Marios Latin Video
18,Travel,Hispanic,1995,Andina Travel
18,Travel,Hispanic,1996,Andina Travel
18,Travel,Hispanic,1997,Andina Travel
18,Travel,Hispanic,1998,Andina Travel
18,Travel,Hispanic,1999,Andina Travel
18,Travel,Hispanic,2000,Andina Travel
