Establishment ID,Establishment Status,Inspection ID,Establishment Name,Establishment Type,Infraction Details,Severity,Action,Outcome,Amount Fined,Inspection Date,year,month,day
10752656,Pass,105338498.0,# HASHTAG INDIA RESTAURANT,Food Take Out,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-03-06,2024,3,6
10752656,Pass,105338498.0,# HASHTAG INDIA RESTAURANT,Food Take Out,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-03-06,2024,3,6
10805561,Pass,105336766.0,#DESI,Food Take Out,,,,,,2024-03-04,2024,3,4
10805561,Pass,105373493.0,#DESI,Food Take Out,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-05-03,2024,5,3
10805561,Pass,105373493.0,#DESI,Food Take Out,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-05-03,2024,5,3
10808575,Pass,105358434.0,000L BANNER CLUB KITCHEN,Commissary,,,,,,2024-04-11,2024,4,11
10776009,Pass,105333674.0,1 HOTEL TORONTO - HARRIET'S,Restaurant,,,,,,2024-02-27,2024,2,27
10776009,Pass,105393184.0,1 HOTEL TORONTO - HARRIET'S,Restaurant,,,,,,2024-06-04,2024,6,4
10776015,Pass,105333676.0,1 HOTEL TORONTO - 1 KITCHEN,Restaurant,,,,,,2024-02-27,2024,2,27
10776015,Pass,105393185.0,1 HOTEL TORONTO - 1 KITCHEN,Restaurant,,,,,,2024-06-04,2024,6,4
10776008,Pass,105333678.0,1 HOTEL TORONTO - CASA MADERA,Restaurant,,,,,,2024-02-27,2024,2,27
10776008,Pass,105393186.0,1 HOTEL TORONTO - CASA MADERA,Restaurant,,,,,,2024-06-04,2024,6,4
10776019,Pass,105333680.0,1 HOTEL TORONTO - FLORA LOUNGE,Cocktail Bar / Beverage Room,,,,,,2024-02-27,2024,2,27
10776019,Pass,105393187.0,1 HOTEL TORONTO - FLORA LOUNGE,Cocktail Bar / Beverage Room,,,,,,2024-06-04,2024,6,4
10776013,Pass,105333682.0,1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Banquet Facility,,,,,,2024-02-27,2024,2,27
10776013,Pass,105393188.0,1 HOTEL TORONTO - MAIN PRODUCTION KITCHEN,Banquet Facility,,,,,,2024-06-04,2024,6,4
10776014,Pass,105333684.0,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Cafeteria - Private Access,,,,,,2024-02-27,2024,2,27
10776014,Pass,105393190.0,1 HOTEL TORONTO - STAFF CAFETERIA 'The Nest',Cafeteria - Private Access,,,,,,2024-06-04,2024,6,4
10500438,Pass,105331446.0,1 PLUS 1 PIZZA,Food Take Out,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,NA - Not Applicable,Notice to Comply,,,2024-02-23,2024,2,23
10500438,Pass,105331446.0,1 PLUS 1 PIZZA,Food Take Out,Food premise not maintained with ceilings in good repair in food-handling room - Sec. 7(1)(g)  ,M - Minor,Notice to Comply,,,2024-02-23,2024,2,23
10500438,Pass,105331446.0,1 PLUS 1 PIZZA,Food Take Out,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-02-23,2024,2,23
10814320,Pass,105395972.0,1 ZERO 2 DELIGHTS,Food Take Out,,,,,,2024-06-07,2024,6,7
10556602,Pass,105340661.0,100% Korean,Food Take Out,,,,,,2024-03-08,2024,3,8
10808982,Pass,105361163.0,1001 XINJIANG CUISINE,Restaurant,Fail to protect against entry of pests - Sec. 13(1),M - Minor,Notice to Comply,,,2024-04-15,2024,4,15
10764483,Pass,105369407.0,10168734 CANADA INC.,Food Processing Plant,Food premise not maintained to permit cleaning of ceilings - Sec. 7(1)(d) ,M - Minor,Notice to Comply,,,2024-04-29,2024,4,29
10814160,Pass,105394947.0,108 T.O FOOTLONG HOT DOGS,Food Take Out,,,,,,2024-06-06,2024,6,6
10808571,Pass,105358415.0,109 PRODUCTION KITCHEN,Commissary,,,,,,2024-04-11,2024,4,11
